
CMD: yum check-update 

Loaded plugins: langpacks

NetworkManager.x86_64           1:1.18.8-2.el7_9               updates-openlogic
NetworkManager-libnm.x86_64     1:1.18.8-2.el7_9               updates-openlogic
NetworkManager-team.x86_64      1:1.18.8-2.el7_9               updates-openlogic
NetworkManager-tui.x86_64       1:1.18.8-2.el7_9               updates-openlogic
WALinuxAgent.noarch             2.7.3.0-1_ol001.el7            openlogic        
abrt.x86_64                     2.1.11-60.el7.centos           base-openlogic   
abrt-addon-ccpp.x86_64          2.1.11-60.el7.centos           base-openlogic   
abrt-addon-kerneloops.x86_64    2.1.11-60.el7.centos           base-openlogic   
abrt-addon-pstoreoops.x86_64    2.1.11-60.el7.centos           base-openlogic   
abrt-addon-python.x86_64        2.1.11-60.el7.centos           base-openlogic   
abrt-addon-vmcore.x86_64        2.1.11-60.el7.centos           base-openlogic   
abrt-addon-xorg.x86_64          2.1.11-60.el7.centos           base-openlogic   
abrt-cli.x86_64                 2.1.11-60.el7.centos           base-openlogic   
abrt-console-notification.x86_64
                                2.1.11-60.el7.centos           base-openlogic   
abrt-dbus.x86_64                2.1.11-60.el7.centos           base-openlogic   
abrt-libs.x86_64                2.1.11-60.el7.centos           base-openlogic   
abrt-python.x86_64              2.1.11-60.el7.centos           base-openlogic   
abrt-retrace-client.x86_64      2.1.11-60.el7.centos           base-openlogic   
abrt-tui.x86_64                 2.1.11-60.el7.centos           base-openlogic   
acl.x86_64                      2.2.51-15.el7                  base-openlogic   
at.x86_64                       3.1.13-25.el7_9                updates-openlogic
augeas-libs.x86_64              1.4.0-10.el7                   base-openlogic   
avahi-libs.x86_64               0.6.31-20.el7                  base-openlogic   
bash.x86_64                     4.2.46-35.el7_9                updates-openlogic
bash-completion.noarch          1:2.1-8.el7                    base-openlogic   
bind-export-libs.x86_64         32:9.11.4-26.P2.el7_9.15       updates-openlogic
bind-libs.x86_64                32:9.11.4-26.P2.el7_9.15       updates-openlogic
bind-libs-lite.x86_64           32:9.11.4-26.P2.el7_9.15       updates-openlogic
bind-license.noarch             32:9.11.4-26.P2.el7_9.15       updates-openlogic
bind-utils.x86_64               32:9.11.4-26.P2.el7_9.15       updates-openlogic
binutils.x86_64                 2.27-44.base.el7_9.1           updates-openlogic
boost-date-time.x86_64          1.53.0-28.el7                  base-openlogic   
boost-system.x86_64             1.53.0-28.el7                  base-openlogic   
boost-thread.x86_64             1.53.0-28.el7                  base-openlogic   
bpftool.x86_64                  3.10.0-1160.118.1.el7          updates-openlogic
ca-certificates.noarch          2023.2.60_v7.0.306-72.el7_9    updates-openlogic
centos-release.x86_64           7-9.2009.1.el7.centos          updates-openlogic
chkconfig.x86_64                1.7.6-1.el7                    base-openlogic   
cloud-init.x86_64               19.4-7.el7.centos.6            updates-openlogic
coreutils.x86_64                8.22-24.el7_9.2                updates-openlogic
cpio.x86_64                     2.11-28.el7                    base-openlogic   
cronie.x86_64                   1.4.11-25.el7_9                updates-openlogic
cronie-anacron.x86_64           1.4.11-25.el7_9                updates-openlogic
cryptsetup.x86_64               2.0.3-6.el7                    base-openlogic   
cryptsetup-libs.x86_64          2.0.3-6.el7                    base-openlogic   
cryptsetup-reencrypt.x86_64     2.0.3-6.el7                    base-openlogic   
cups-libs.x86_64                1:1.6.3-52.el7_9               updates-openlogic
curl.x86_64                     7.29.0-59.el7_9.2              updates-openlogic
cyrus-sasl-lib.x86_64           2.1.26-24.el7_9                updates-openlogic
cyrus-sasl-plain.x86_64         2.1.26-24.el7_9                updates-openlogic
dbus.x86_64                     1:1.10.24-15.el7               base-openlogic   
dbus-libs.x86_64                1:1.10.24-15.el7               base-openlogic   
device-mapper.x86_64            7:1.02.170-6.el7_9.5           updates-openlogic
device-mapper-event.x86_64      7:1.02.170-6.el7_9.5           updates-openlogic
device-mapper-event-libs.x86_64 7:1.02.170-6.el7_9.5           updates-openlogic
device-mapper-libs.x86_64       7:1.02.170-6.el7_9.5           updates-openlogic
device-mapper-persistent-data.x86_64
                                0.8.5-3.el7_9.2                updates-openlogic
dhclient.x86_64                 12:4.2.5-83.el7.centos.1       updates-openlogic
dhcp-common.x86_64              12:4.2.5-83.el7.centos.1       updates-openlogic
dhcp-libs.x86_64                12:4.2.5-83.el7.centos.1       updates-openlogic
diffutils.x86_64                3.3-6.el7_9                    updates-openlogic
dmidecode.x86_64                1:3.2-5.el7_9.1                updates-openlogic
dracut.x86_64                   033-572.el7                    base-openlogic   
dracut-network.x86_64           033-572.el7                    base-openlogic   
e2fsprogs.x86_64                1.42.9-19.el7                  base-openlogic   
e2fsprogs-libs.x86_64           1.42.9-19.el7                  base-openlogic   
elfutils.x86_64                 0.176-5.el7                    base-openlogic   
elfutils-default-yama-scope.noarch
                                0.176-5.el7                    base-openlogic   
elfutils-libelf.x86_64          0.176-5.el7                    base-openlogic   
elfutils-libs.x86_64            0.176-5.el7                    base-openlogic   
emacs-filesystem.noarch         1:24.3-23.el7_9.1              updates-openlogic
expat.x86_64                    2.1.0-15.el7_9                 updates-openlogic
file.x86_64                     5.11-37.el7                    base-openlogic   
file-libs.x86_64                5.11-37.el7                    base-openlogic   
firewalld.noarch                0.6.3-13.el7_9                 updates-openlogic
firewalld-filesystem.noarch     0.6.3-13.el7_9                 updates-openlogic
freetype.x86_64                 2.8-14.el7_9.1                 updates-openlogic
gdb.x86_64                      7.6.1-120.el7                  base-openlogic   
geoipupdate.x86_64              2.5.0-2.el7                    updates-openlogic
gettext.x86_64                  0.19.8.1-3.el7                 base-openlogic   
gettext-libs.x86_64             0.19.8.1-3.el7                 base-openlogic   
glib2.x86_64                    2.56.1-9.el7_9                 updates-openlogic
glibc.x86_64                    2.17-326.el7_9                 updates-openlogic
glibc-common.x86_64             2.17-326.el7_9                 updates-openlogic
grub2.x86_64                    1:2.02-0.87.0.2.el7.centos.14  updates-openlogic
grub2-common.noarch             1:2.02-0.87.0.2.el7.centos.14  updates-openlogic
grub2-efi-x64.x86_64            1:2.02-0.87.0.2.el7.centos.14  updates-openlogic
grub2-pc.x86_64                 1:2.02-0.87.0.2.el7.centos.14  updates-openlogic
grub2-pc-modules.noarch         1:2.02-0.87.0.2.el7.centos.14  updates-openlogic
grub2-tools.x86_64              1:2.02-0.87.0.2.el7.centos.14  updates-openlogic
grub2-tools-extra.x86_64        1:2.02-0.87.0.2.el7.centos.14  updates-openlogic
grub2-tools-minimal.x86_64      1:2.02-0.87.0.2.el7.centos.14  updates-openlogic
gzip.x86_64                     1.5-11.el7_9                   updates-openlogic
hunspell.x86_64                 1.3.2-16.el7                   base-openlogic   
hwdata.x86_64                   0.252-9.7.el7                  base-openlogic   
initscripts.x86_64              9.49.53-1.el7_9.1              updates-openlogic
iproute.x86_64                  4.11.0-30.el7                  base-openlogic   
iptables.x86_64                 1.4.21-35.el7                  base-openlogic   
iwl100-firmware.noarch          39.31.5.1-82.el7_9             updates-openlogic
iwl1000-firmware.noarch         1:39.31.5.1-82.el7_9           updates-openlogic
iwl105-firmware.noarch          18.168.6.1-82.el7_9            updates-openlogic
iwl135-firmware.noarch          18.168.6.1-82.el7_9            updates-openlogic
iwl2000-firmware.noarch         18.168.6.1-82.el7_9            updates-openlogic
iwl2030-firmware.noarch         18.168.6.1-82.el7_9            updates-openlogic
iwl3160-firmware.noarch         25.30.13.0-82.el7_9            updates-openlogic
iwl3945-firmware.noarch         15.32.2.9-82.el7_9             updates-openlogic
iwl4965-firmware.noarch         228.61.2.24-82.el7_9           updates-openlogic
iwl5000-firmware.noarch         8.83.5.1_1-82.el7_9            updates-openlogic
iwl5150-firmware.noarch         8.24.2.2-82.el7_9              updates-openlogic
iwl6000-firmware.noarch         9.221.4.1-82.el7_9             updates-openlogic
iwl6000g2a-firmware.noarch      18.168.6.1-82.el7_9            updates-openlogic
iwl6000g2b-firmware.noarch      18.168.6.1-82.el7_9            updates-openlogic
